Word,Relative Frequency %,H1%,H2%,H3%,H4%,H5%,H6%,Anchor%,Title%,Url-Host,Url-Query,GT,web-id
conferences,0.004975124378109453,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
include,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
liverpool,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
boss,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
jurgen,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
plus,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
latest,0.004975124378109453,0,0.038461538461538464,0,0,0,0,0.002207505518763797,0,0,0,0,0
transfer,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
gossip,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
football,0.003316749585406302,0,0,0,0,0,0,0.004415011037527594,0,0,0,0,0
potter,0.003316749585406302,0,0,0,0,0,0,0,0,0,0,0,0
must,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
thinking,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
whens,0.003316749585406302,0,0,0,0,0,0,0,0,0,0,0,0
luck,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
going,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
change,0.006633499170812604,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
bad,0.003316749585406302,0,0,0,0,0,0,0,0,0,0,0,0
run,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
unhappy,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
fans,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
big,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
injury,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
list,0.004975124378109453,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
new,0.008291873963515755,0,0.038461538461538464,0.006802721088435374,0,0,0,0.008830022075055188,0,0,0,0,0
signing,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
suspended,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
things,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
go,0.004975124378109453,0,0,0,0,0,0,0,0,0,0,0,0
worse,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
graham,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
potters,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
chelsea,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
feel,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
emotional,0.003316749585406302,0,0,0,0,0,0,0,0,0,0,0,0
djokovic,0.004975124378109453,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
melbourne,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
return,0.008291873963515755,0,0,0.006802721088435374,0,0,0,0.008830022075055188,0,0,0,0,0
novak,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
receives,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
adoring,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
welcome,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
